Facility Name,Registration No,License Number,Ownership,License Type,Establishment Year,Street,County,Licence Status,Facility Status,Valid Till
AVACARE KENYA LIMITED (Nairobi),PPB/A/1820,BU202602310,PRIVATE COMPANY (LIMITED),WHOLESALE,2018,Off Baba Dogo Road,Nairobi,VALID,ACTIVE,2026-12-31
AVILA CHEMIST LIMITED (Nairobi),None,BU202606502,PRIVATE COMPANY (LIMITED),WHOLESALE,2022,CHARLES RUBIA LANE,Nairobi,VALID,ACTIVE,2026-12-31
AXCESS BEYOND LTD - SYOKIMAU,PPB/A/3406,BU202600181,PRIVATE COMPANY (LIMITED),WHOLESALE,2025,BELLWAYS PLAZA 3RD FLOOR BLOCK A A1,,VALID,ACTIVE,2026-12-31
B.BRAUN MEDICAL KENYA LTD (Nairobi),PPB/B/6974,BU202602854,PRIVATE COMPANY (LIMITED),WHOLESALE,2014,OFF MOMBASA ROAD NEXT TO ICD,Nairobi,VALID,ACTIVE,2026-12-31
BAKPHARM LIMITED (Nairobi),PPB/B/120,BU202604623,PARTNERSHIP,WHOLESALE,2012,KOMBO MUNYIRI,Nairobi,VALID,ACTIVE,2026-12-31
BEL-EA PHARMACY LTD (Nairobi),PPB/B/93,BU202603634,PRIVATE COMPANY (LIMITED),WHOLESALE,2003,OLD AIRPORT NORTH ROAD,Nairobi,VALID,ACTIVE,2026-12-31
BELEA PHARMACY LIMITED (MACHAKOS),PPB/B/7366,BU202607083,PRIVATE COMPANY (LIMITED),WHOLESALE,2003,NEXT TO MACHAKOS BUS PARK,Machakos,VALID,ACTIVE,2026-12-31
BIBO PHARMACEUTICALS LIMITED (Nairobi),PPB/B/6778,BU202605438,PRIVATE COMPANY (LIMITED),WHOLESALE,2015,TOM MBOYA STREET,Kilifi,VALID,ACTIVE,2026-12-31
BIOGEX PHARMA LIMITED (Nairobi),PPB/B/7432,BU202606119,PRIVATE COMPANY (LIMITED),WHOLESALE,2024,BABA DOGO ROAD,Nairobi,VALID,ACTIVE,2026-12-31
BIONICHE LTD,PPB/B/7569,BU202607500,PRIVATE COMPANY (LIMITED),WHOLESALE,2025,MURANG'A,,VALID,ACTIVE,2026-12-31
