Facility Name,Registration No,License Number,Ownership,Establishment Year,Street,County,Licence Status,Facility Status,Valid Till
DEMORA PHARMACEUTICALS (Nakuru),PPB/D/2097,BU202600560,SOLE PROPRIETOR,2017,RHONDA - POSTA,Nakuru,VALID,ACTIVE,2026-12-31
DEN &DEN PHARMACY,PPB/D/3440,BU202603214,PARTNERSHIP,2019,CONGO,,VALID,ACTIVE,2026-12-31
DEN&DEN PHARMACY (Nairobi),PPB/D/2240,BU202604980,SOLE PROPRIETOR,2020,KAMAE ROAD,Nairobi,VALID,ACTIVE,2026-12-31
DEN&DEN PHARMACY-RUIRU,PPB/D/3316,BU202604451,SOLE PROPRIETOR,2023,MAMA SHOP,Kiambu,VALID,ACTIVE,2026-12-31
DENAMA CHEMIST,PPB/D/3370,BU202600896,SOLE PROPRIETOR,2024,BARICHO,,VALID,ACTIVE,2026-12-31
DENBON CHEMIST,PPB/D/3277,BU202602355,SOLE PROPRIETOR,2022,LAINI MOJA,Trans Nzoia,VALID,ACTIVE,2026-12-31
DENIMED CHEMIST (Kisii),PPB/D/3253,BU202605644,SOLE PROPRIETOR,2022,KISII - KEROKA ROAD,Kisii,VALID,ACTIVE,2026-12-31
DENKI LATE NIGHT PHARMACY,PPB/D/3354,BU202602379,SOLE PROPRIETOR,2024,MSAMBWENI ROAD,,VALID,ACTIVE,2026-12-31
DENKIM PHARMACY,PPB/D/3349,BU202604620,PARTNERSHIP,2024,MARIAKANI STAGE ROAD,,VALID,ACTIVE,2026-12-31
DENOCAREPLUS PHARMACY,PPB/D/2363,BU202605035,SOLE PROPRIETOR,2022,MAGONGO MWISHO,Mombasa,VALID,ACTIVE,2026-12-31
DENSIAH CHEMIST (Nairobi),PPB/D/3373,BU202606726,SOLE PROPRIETOR,2022,OLD MOMBASA RD,Nairobi,VALID,ACTIVE,2026-12-31
DENSON CHEMIST (Nairobi),PPB/D/2224,BU202604482,SOLE PROPRIETOR,2019,VILLAGE STREET,Nairobi,VALID,ACTIVE,2026-12-31
DENVER PHARMACY (Kirinyaga),PPB/D/2069,BU202604641,SOLE PROPRIETOR,2016,KERUGOYA-KAGUMO ROAD,Kirinyaga,VALID,ACTIVE,2026-12-31
DEONCARE CHEMIST,PPB/D/3233,BU202602141,SOLE PROPRIETOR,2022,KISUMU KAKAMEGA ROAD,Vihiga,VALID,ACTIVE,2026-12-31
DERO'S PHARMACY,PPB/D/3429,BU202602458,SOLE PROPRIETOR,2024,GURAYA STREET,,VALID,ACTIVE,2026-12-31
DESCARE CHEMIST (Nairobi),PPB/D/2346,BU202603466,SOLE PROPRIETOR,2021,CHURCH ROAD,Nairobi,VALID,ACTIVE,2026-12-31
DESCHEM PHARMACY - MACHAKOS (Machakos),PPB/D/348,BU202606852,SOLE PROPRIETOR,2014,MACHAKOS MATUU ROAD,Machakos,VALID,ACTIVE,2026-12-31
DESIL PHARMACY,PPB/D/3267,BU202600686,SOLE PROPRIETOR,2022,OFF OLD MALINDI ROAD,Mombasa,VALID,ACTIVE,2026-12-31
DESILAM CHEMIST (Mombasa),PPB/D/2241,BU202602502,SOLE PROPRIETOR,2020,KINGORANI ROAD,Mombasa,VALID,ACTIVE,2026-12-31
DESOMART CHEMIST (Kisumu),PPB/D/2098,BU202607469,SOLE PROPRIETOR,2016,KATITO  KENDU BAY ROAD,Kisumu,VALID,ACTIVE,2026-12-31
DESPHIC PHARMACY-LARI,PPB/D/2361,BU202600854,SOLE PROPRIETOR,2022,GITHUNGURI KAGWE ROAD,Kiambu,VALID,ACTIVE,2026-12-31
DESTINY CARE PHARMACY,PPB/D/3290,BU202607014,SOLE PROPRIETOR,2023,"MWINGI-NZELUNI ROAD MWINGI TOWN,MKULIMA",Kitui,VALID,ACTIVE,2026-12-31
DESTINY CHECK CHEMIST (Uasin Gishu),PPB/D/2355,BU202607664,SOLE PROPRIETOR,2020,ITEN ROAD,Uasin Gishu,VALID,ACTIVE,2026-12-31
DESTINY CHEMIST (Nyeri),PPB/D/159,BU202604247,SOLE PROPRIETOR,1914,NYERI- NYAHURURU RD,Nyeri,VALID,ACTIVE,2026-12-31
DESTINYFREEDOM PHARMACY,PPB/D/2366,BU202607816,SOLE PROPRIETOR,2022,MALEWA ROAD,Nairobi,VALID,ACTIVE,2026-12-31
DEVANBLESS PHARMACY LIMITED,PPB/D/3480,BU202604642,SOLE PROPRIETOR,2025,KEBIRIGO BOSIANGO ROAD,,VALID,ACTIVE,2026-12-31
DEVINA PHARMACY,PPB/D/3479,BU202606992,SOLE PROPRIETOR,2025,MWEA-EMBU,,VALID,ACTIVE,2026-12-31
DEWMED KENYA LIMITED (Nairobi),PPB/D/2180,BU202601133,PRIVATE COMPANY (LIMITED),2018,OUTERING ROAD,Nairobi,VALID,ACTIVE,2026-12-31
DEWMED KENYA LIMITED - KATANI,PPB/D/3386,BU202601120,PRIVATE COMPANY (LIMITED),2017,KATANI,,VALID,ACTIVE,2026-12-31
DEXCHEM LIMITED,PPB/D/3426,BU202600861,PARTNERSHIP,2020,KATANI,,VALID,ACTIVE,2026-12-31
DHARUL DAWA PHARMACY AND MEDICAL CENTRE LIMITED  (Nairobi),PPB/D/3319,BU202600087,PRIVATE COMPANY (LIMITED),2023,MUHOHO AVENUE,Nairobi,VALID,ACTIVE,2026-12-31
DHIRRE MEDICAL SERVICES LTD,PPB/D/3378,BU202604773,PARTNERSHIP,2024,BOMEN STREET,,VALID,ACTIVE,2026-12-31
DIAELY PHARMACEUTICALS (Vihiga),PPB/D/2297,BU202603972,PARTNERSHIP,2021,MASENO-KOMBEWA,Vihiga,VALID,ACTIVE,2026-12-31
DIAMOND ARCADE PHARMACY (Mombasa),PPB/D/07,BU202600221,SOLE PROPRIETOR,1914,MOMBASA RD,Mombasa,VALID,ACTIVE,2026-12-31
DIANI CONABEACH PHARMACY,PPB/D/3455,BU202605222,SOLE PROPRIETOR,2025,BEACH ROAD,,VALID,ACTIVE,2026-12-31
DIAPLUS CHEMIST,PPB/D/3445,BU202603429,SOLE PROPRIETOR,2025,MIRIAMS ROARD,,VALID,ACTIVE,2026-12-31
DIATOMITE CHEMIST,PPB/D/2348,BU202602501,SOLE PROPRIETOR,2021,UTAMADUNI NYS ROAD,Nakuru,VALID,ACTIVE,2026-12-31
DIEST PHARMACY,PPB/D/3308,BU202603859,SOLE PROPRIETOR,2023,WEST INDIES,,VALID,ACTIVE,2026-12-31
DIEU GURRIT PHARMACY,PPB/D/3491,BU202600086,SOLE PROPRIETOR,2025,RONALD NGALA,,VALID,ACTIVE,2026-12-31
DIGFER PHARMACY (Nairobi),PPB/D/2283,BU202605632,SOLE PROPRIETOR,2021,KIRONGOTHI,Nairobi,VALID,ACTIVE,2026-12-31
DIGICHEM PHARMACY (Laikipia),PPB/D/62,BU202602570,SOLE PROPRIETOR,2013,TIMMY- WILLY STREET,Laikipia,VALID,ACTIVE,2026-12-31
DILABIT PHARMACY LTD-MLOLONGO (Nairobi),PPB/D/318,BU202601906,PRIVATE COMPANY (LIMITED),2013,OUTERING,Nairobi,VALID,ACTIVE,2026-12-31
DIMA CHEMIST,PPB/D/3284,BU202607094,SOLE PROPRIETOR,2022,KITALE - ELDORET,,VALID,ACTIVE,2026-12-31
DIMA PHARMACY (Makueni),PPB/D/2035,BU202605315,SOLE PROPRIETOR,2015,NAIROBI-MOMBASA ROAD,Makueni,VALID,ACTIVE,2026-12-31
DIMALO PHARMACY (Migori),PPB/D/235,BU202605723,SOLE PROPRIETOR,2012,HOSP RD,Migori,VALID,ACTIVE,2026-12-31
DINA CHEMIST,PPB/D/2359,BU202606319,SOLE PROPRIETOR,2022,DINA JUNCTION,Bungoma,VALID,ACTIVE,2026-12-31
DINE PHARMACEUTICALS (Nairobi),PPB/D/,BU202602122,SOLE PROPRIETOR,2013,KANISANI ROAD,Nairobi,VALID,ACTIVE,2026-12-31
DIPA CHEMIST,PPB/D/3276,BU202601765,PARTNERSHIP,2022,MACHAKOS WOTE,,VALID,ACTIVE,2026-12-31
DIRAK PHARM CHEMIST,PPB/D/3327,BU202600676,SOLE PROPRIETOR,2023,MAIN STREET,Kiambu,VALID,ACTIVE,2026-12-31
DISCHEM PLUS PHARMACY (Mombasa),PPB/K/186,BU202603349,SOLE PROPRIETOR,2007,OLD MALINDI ROAD,Mombasa,VALID,ACTIVE,2026-12-31
DISHCHEM PHARMACY (Nairobi),PPB/D/176,BU202602487,SOLE PROPRIETOR,2011,SABA SABA RD,Nairobi,VALID,ACTIVE,2026-12-31
DISHCHEM PHARMACY-NYANDO,PPB/D/3492,BU202600095,SOLE PROPRIETOR,2011,NYANDO,,VALID,ACTIVE,2026-12-31
DIVINE GRACE PHARMACY,PPB/D/3306,BU202607157,PARTNERSHIP,2023,MERU/NAIROBI HIGHWAY,Meru,VALID,ACTIVE,2026-12-31
DIVINE HEALTHPLUS PHARMACY,PPB/D/3326,BU202603432,SOLE PROPRIETOR,2023,DIANI BEACH ROAD,Kwale,VALID,ACTIVE,2026-12-31
DMPOLIN CHEMIST ZIMMERMAN (Nairobi),PPB/D/2144,BU202602754,SOLE PROPRIETOR,2017,THIKA ROAD,Nairobi,VALID,ACTIVE,2026-12-31
DOCHEM PHARMACY LTD,PPB/D/3302,BU202603302,PRIVATE COMPANY (LIMITED),2006,GHALIP ROAD,,VALID,ACTIVE,2026-12-31
DOCPHARMA LIMITED (Nairobi),PPB/D/2141,BU202603928,PRIVATE COMPANY (LIMITED),2017,3RD PARKLAND AVENUE,Nairobi,VALID,ACTIVE,2026-12-31
DOKEV PHARMACEUTICAL,PPB/D/3228,BU202607652,SOLE PROPRIETOR,2022,AIRWAY STREET,Machakos,VALID,ACTIVE,2026-12-31
DOLACK PHARMACEUTICAL LTD (Taita Taveta),PPB/D/335,BU202601143,PRIVATE COMPANY (LIMITED),2014,UTAWALA RD,Taita Taveta,VALID,ACTIVE,2026-12-31
DOLACK PHARMACEUTICALS -MARIAKANI (Kilifi),PPB/D/340,BU202601394,PRIVATE COMPANY (LIMITED),2014,0FF MOMBASA ROAD,Kilifi,VALID,ACTIVE,2026-12-31
DOLFA CHEMIST (Bomet),PPB/D/2260,BU202603394,SOLE PROPRIETOR,2020,LITEIN-SOTIK HIGHWAY,Bomet,VALID,ACTIVE,2026-12-31
DOLLAR PHARMACY (Nairobi),PPB/D/191,BU202605142,PARTNERSHIP,2011,KIPANGA ATHUMANI ROAD,Nairobi,VALID,ACTIVE,2026-12-31
DOLMARK CHEMIST (Nairobi),PPB/D/2041,BU202600050,SOLE PROPRIETOR,2016,BUTECHI ROAD,Nairobi,VALID,ACTIVE,2026-12-31
DOLORAMI  PHARMACY-MAYIANAT,PPB/D/3447,BU202602290,SOLE PROPRIETOR,2025,OLD NAMANGA,,VALID,ACTIVE,2026-12-31
DOLORAMI PHARMACY,PPB/D/3351,BU202606746,SOLE PROPRIETOR,2023,PRISON ROAD,,VALID,ACTIVE,2026-12-31
DOMEMA CHEMIST (Tharaka Nithi),PPB/D/2239,BU202603245,SOLE PROPRIETOR,2018,KARISE ROAD,Tharaka Nithi,VALID,ACTIVE,2026-12-31
DOMESTIC CARE CHEMIST (Trans Nzoia),PPB/D/349,BU202606692,SOLE PROPRIETOR,2014,NAMANJALALA ROAD,Trans Nzoia,VALID,ACTIVE,2026-12-31
DOMIOMO CHEMIST (Homa Bay),PPB/D/2081,BU202602968,SOLE PROPRIETOR,2016,RONGO-HOMABAY ROAD,Homa Bay,VALID,ACTIVE,2026-12-31
DOMMYCARE PHARMACEUTICAL,PPB/D/3355,BU202607529,SOLE PROPRIETOR,2024,NDHIWA COURT ROAD,,VALID,ACTIVE,2026-12-31
DOMPHARM CHEMIST (Machakos),PPB/D/287,BU202600792,SOLE PROPRIETOR,2013,MASINGA RD,Machakos,VALID,ACTIVE,2026-12-31
DOO-BLUH-VAY LIMITED,PPB/D/3406,BU202600706,PRIVATE COMPANY (LIMITED),2023,LIMURU ROAD,,VALID,ACTIVE,2026-12-31
DOPEMARKS CHEMIST (Kericho),PPB/D/187,BU202601883,SOLE PROPRIETOR,1914,KAPSURER,Kericho,VALID,ACTIVE,2026-12-31
DORADAWA PHARMACY,PPB/D/3322,BU202604266,SOLE PROPRIETOR,2023,KISUMU-NAIROBI ROAD,Kisumu,VALID,ACTIVE,2026-12-31
DORED CHEMIST,PPB/D/3225,BU202602020,SOLE PROPRIETOR,2022,OLD MALINDI ROAD,Kilifi,VALID,ACTIVE,2026-12-31
DOSAM PHARMACY LIMITED,PPB/D/3489,BU202606194,PRIVATE COMPANY (LIMITED),2025,KWA NDEGE,,VALID,ACTIVE,2026-12-31
DOSE-BAY PHARMACY,PPB/D/3444,BU202606197,SOLE PROPRIETOR,2025,MASTERS ROAD,,VALID,ACTIVE,2026-12-31
DOSHALOM CHEMIST,PPB/D/3291,BU202601864,PARTNERSHIP,2022,THIONGO,Nairobi,VALID,ACTIVE,2026-12-31
DOSICHEM PHARMACY (Uasin Gishu),PPB/D/93,BU202605385,SOLE PROPRIETOR,2004,OLD UGANDA RD,Uasin Gishu,VALID,ACTIVE,2026-12-31
DOUBLE B MEDICAL FACILITY (Kiambu),PPB/D/2059,BU202600327,SOLE PROPRIETOR,2016,OFF COURT ROAD,Kiambu,VALID,ACTIVE,2026-12-31
DOUBLE B MEDICAL FACILITY- ZAMBEZI (Kiambu),PPB/D/2342,BU202600326,PARTNERSHIP,2020,ZAMBEZI NDERI,Kiambu,VALID,ACTIVE,2026-12-31
DOVAS PHARMACY (Bungoma),PPB/D/286,BU202602452,SOLE PROPRIETOR,2013,MUMIAS-BUNGOMA,Bungoma,VALID,ACTIVE,2026-12-31
DOVECARE CHEMIST,PPB/D/3448,BU202606355,SOLE PROPRIETOR,2025,MAJENGO-HAMISI,,VALID,ACTIVE,2026-12-31
DOVEY  PHARMA LTD-WESTLANDS (Nairobi),PPB/D/175,BU202604060,SOLE PROPRIETOR,2014,RINGROAD,Nairobi,VALID,ACTIVE,2026-12-31
DOVEY PHARMA LIMITED - CITY HALL (Nairobi),PPB/D/2309,BU202605216,PARTNERSHIP,2021,MAMA NGINA,Nairobi,VALID,ACTIVE,2026-12-31
DOVEY PHARMA LTD - BURUBURU (Nairobi),PPB/D/2226,BU202606684,PARTNERSHIP,2011,BURU BURU PHASE 3,Nairobi,VALID,ACTIVE,2026-12-31
DOVEY PHARMA LTD-KAREN (Nairobi),PPB/D/2162,BU202604065,PRIVATE COMPANY (LIMITED),2011,RINGROAD,Nairobi,VALID,ACTIVE,2026-12-31
DOVEYPHARMA LIMITED - MOMBASA (Mombasa),PPB/D/174,BU202604062,PARTNERSHIP,2011,NYERERE RD,Mombasa,VALID,ACTIVE,2026-12-31
DOVEYPHARMA LIMITED-DENNIS PRITT (Nairobi),PPB/D/2033,BU202604063,PRIVATE COMPANY (LIMITED),2011,DENNIS PRITT,Nairobi,VALID,ACTIVE,2026-12-31
DOVEYPHARMA LIMITED-LAVINGTON,PPB/D/3388,BU202606732,PARTNERSHIP,2011,JAMES GICHURU,,VALID,ACTIVE,2026-12-31
DOVEYPHARMA LTD-JF CENTER LTD (Nairobi),PPB/D/2234,BU202604067,SOLE PROPRIETOR,2011,"ARGWINGS KODHEK RD, NAIROBI",Nairobi,VALID,ACTIVE,2026-12-31
DOVEYPHARMA LTD-KIMATHI HOUSE (Nairobi),PPB/D/2227,BU202606683,PARTNERSHIP,2011,KIMATHI STREET,Nairobi,VALID,ACTIVE,2026-12-31
DOVEYPHARMA NAIROBI WEST,PPB/D/3251,BU202604064,SOLE PROPRIETOR,2022,MAI MAHIU RD OFF LANGATA RD,Nairobi,VALID,ACTIVE,2026-12-31
DOVEYPHARMA NAKURU,PPB/D/3223,BU202604061,SOLE PROPRIETOR,2022,KENYATTA AVENUE,Nakuru,VALID,ACTIVE,2026-12-31
DOVEYPHARMA RUAKA,PPB/D/3239,BU202604066,SOLE PROPRIETOR,2021,LIMURU RD,Nairobi,VALID,ACTIVE,2026-12-31
DOVEYPHARMA YAYA (Nairobi),PPB/D/3243,BU202605217,PRIVATE COMPANY (LIMITED),2022,RING ROAD KILIMANI,Nairobi,VALID,ACTIVE,2026-12-31
DOWAN PHARMACY,PPB/D/3360,BU202601885,SOLE PROPRIETOR,2024,SAGANA/MURANGA ROAD,,VALID,ACTIVE,2026-12-31
DOWNTOWN CHOGORIA CHEMIST (Tharaka Nithi),PPB/D/2291,BU202603149,SOLE PROPRIETOR,2021,CHOGORIA,Tharaka Nithi,VALID,ACTIVE,2026-12-31
DOXACARE PHARMACY..,PPB/D/3352,BU202602038,SOLE PROPRIETOR,2022,RAIA ROAD,,VALID,ACTIVE,2026-12-31
DOYEN SAINTS PHARMACY (Kiambu),PPB/D/2284,BU202600730,SOLE PROPRIETOR,2020,HAPPY GATE A,Kiambu,VALID,ACTIVE,2026-12-31
DR WAITHIRA FAMILY PHARMACY,PPB/D/3263,BU202604977,SOLE PROPRIETOR,2022,NDUMBERI-TING'ANG'A ROAD,Kiambu,VALID,ACTIVE,2026-12-31
DR. JOEKEN CHEMIST,PPB/D/3235,BU202606354,SOLE PROPRIETOR,2022,NANDI ROAD,Uasin Gishu,VALID,ACTIVE,2026-12-31
dr.pharma pharmaceuticals (Kiambu),None,BU202604509,PARTNERSHIP,,,Kiambu,VALID,ACTIVE,2026-12-31
DR.T PHARMACY LTD (Kericho),PPB/D/3377,BU202603941,PRIVATE COMPANY (LIMITED),2024,KERICHO KISUMU HIGHWAY,Kericho,VALID,ACTIVE,2026-12-31
DR.T. HAKALA MEDICAL CENTRE,PPB/D/3475,BU202603422,SOLE PROPRIETOR,2025,RANGWE KISII ROAD,,VALID,ACTIVE,2026-12-31
DRAKE PHARMACEUTICALS-LOWER KABETE (Nairobi),PPB/D/2219,BU202600886,PRIVATE COMPANY (LIMITED),2015,GITATHURU ROAD,Nairobi,VALID,ACTIVE,2026-12-31
DREAMBEAT CHEMIST (Kajiado),PPB/D/2281,BU202606324,SOLE PROPRIETOR,2021,MAGADI ROAD,Kajiado,VALID,ACTIVE,2026-12-31
DROGEN PHARMACY (Busia),PPB/D/2185,BU202604479,PARTNERSHIP,2018,HOSPITAL ROAD,Busia,VALID,ACTIVE,2026-12-31
DROSALIN LIMITED,PPB/D/3470,BU202604318,SOLE PROPRIETOR,2025,NEW MARKET,,VALID,ACTIVE,2026-12-31
DRUG HUB CHEMIST (Nairobi),PPB/D/2306,BU202607847,SOLE PROPRIETOR,2021,THOME ROAD,Nairobi,VALID,ACTIVE,2026-12-31
DRUG LOFT CHEMIST -  MWIKI,PPB/D/2350,BU202603023,PARTNERSHIP,2021,MWIKI ROAD,Nairobi,VALID,ACTIVE,2026-12-31
DRUG MART CHEMIST,PPB/D/3274,BU202601537,SOLE PROPRIETOR,2023,KANGUNDO ROAD,Nairobi,VALID,ACTIVE,2026-12-31
DRUGHILL PHARMACY (Nairobi),PPB/D/111,BU202603383,PRIVATE COMPANY (LIMITED),2005,OFF THIKA ROAD,Nairobi,VALID,ACTIVE,2026-12-31
DRUGLINK PHARMACEUTICAL (Kisii),PPB/D/2023,BU202606941,SOLE PROPRIETOR,2015,ETAGO-MOGUNGA RD,Kisii,VALID,ACTIVE,2026-12-31
DRUGNEET PHARMACY LTD (Nairobi),PPB/D/306,BU202607888,PRIVATE COMPANY (LIMITED),2014,OFF THIKA ROAD,Nairobi,VALID,ACTIVE,2026-12-31
DRUGPARK PHARMACY AND STORES,PPB/D/2358,BU202606677,SOLE PROPRIETOR,2021,AIRWAYS ROAD,Machakos,VALID,ACTIVE,2026-12-31
DRUGSURG PHARMACY (Kiambu),PPB/D/2122,BU202607734,PARTNERSHIP,2017,NAKUMATT MWIHOKO ROAD,Kiambu,VALID,ACTIVE,2026-12-31
DRUGWIZ PHARMACEUTICALS (Kiambu),PPB/D/2331,BU202603527,PARTNERSHIP,2021,THIKA JOMOKO STAGE,Kiambu,VALID,ACTIVE,2026-12-31
DUAKIM PHARMACY,PPB/D/3368,BU202607731,SOLE PROPRIETOR,2023,SPARKI AREA,,VALID,ACTIVE,2026-12-31
DULCIPHARM CHEMIST (Kiambu),PPB/D/202,BU202607714,SOLE PROPRIETOR,2012,KIAMBU - GITHUNGURI RD,Kiambu,VALID,ACTIVE,2026-12-31
DUMBUINI CHEMIST (Kiambu),PPB/D/252,BU202603404,SOLE PROPRIETOR,2013,NDUMBUINI ROAD,Kiambu,VALID,ACTIVE,2026-12-31
DUNHEAL MUKUYU PHARMACY,PPB/D/3261,BU202603593,SOLE PROPRIETOR,2022,STAGE ROAD,Murang'a,VALID,ACTIVE,2026-12-31
DUNISH SONKOR PHARMACEUTICAL LIMITED  (Nairobi),PPB/D/2314,BU202600764,PARTNERSHIP,2021,SECOND AVENUE,Nairobi,VALID,ACTIVE,2026-12-31
DUNSAM PHARMACEUTICALS (Nyeri),PPB/D/171,BU202600242,PARTNERSHIP,2013,OTHAYA ROAD,Nyeri,VALID,ACTIVE,2026-12-31
DWASI PHARMACY,PPB/D/3468,BU202602395,SOLE PROPRIETOR,2025,MIGORI - ISEBANIA HIGHWAY OFF TO MUHURU BAY ROAD,,VALID,ACTIVE,2026-12-31
DYLANS PHARMACY,PPB/D/3304,BU202603127,SOLE PROPRIETOR,2023,BARICHO ROAD,Kirinyaga,VALID,ACTIVE,2026-12-31
DYLARCARE CHEMIST (Nakuru),PPB/D/2065,BU202607862,SOLE PROPRIETOR,2015,LANET-NDUNDURI ROAD,Nakuru,VALID,ACTIVE,2026-12-31
DYLOCARE PHARMACY,PPB/D/3391,BU202600441,SOLE PROPRIETOR,2024,WEST KITUTU/BOMATARA,,VALID,ACTIVE,2026-12-31
DYNACHEM PHARMACEUTICALS (Kiambu),PPB/D/2090,BU202607607,SOLE PROPRIETOR,2014,KENYATTA,Kiambu,VALID,ACTIVE,2026-12-31
DYNAMIC DAWA PHARMACY (Kakamega),PPB/D/3292,BU202606721,SOLE PROPRIETOR,2023,KAKAMEGA/WEBUYE ROAD,Kakamega,VALID,ACTIVE,2026-12-31
DYNARCHEM PHARMACY (Laikipia),PPB/D/2130,BU202601200,SOLE PROPRIETOR,2017,NANYUKI,Laikipia,VALID,ACTIVE,2026-12-31
DYNASTY PHARMACY (Machakos),PPB/D/0359,BU202607114,SOLE PROPRIETOR,2015,MACHAKOS KITUI,Machakos,VALID,ACTIVE,2026-12-31
DYNEX VENTURES,PPB/D/3478,BU202607026,SOLE PROPRIETOR,2025,OPPOSITE NAIROBI MUSLIM SCHOOL,,VALID,ACTIVE,2026-12-31
DYNO KOMBANI CHEMIST (Kwale),PPB/D/291,BU202603848,SOLE PROPRIETOR,2014,MOMBASA LUNGA LUNGA,Kwale,VALID,ACTIVE,2026-12-31
EARNEST PHARMACY LIMITED (Kiambu),PPB/E/1466,BU202603152,PARTNERSHIP,2023,MAIN STAGE ROAD,Kiambu,VALID,ACTIVE,2026-12-31
EART PHARMACY,PPB/E/1718,BU202607501,SOLE PROPRIETOR,2025,LANGATA ROAD,,VALID,ACTIVE,2026-12-31
EAST AFRICAN PORTLAND CEMENT (Machakos),PPB/E/126,BU202600701,PARTNERSHIP,1914,,Machakos,VALID,ACTIVE,2026-12-31
EAST-WAY PHARMACEUTICALS (Tharaka Nithi),PPB/E/336,BU202606154,SOLE PROPRIETOR,2014,MAGUTUNI RD,Tharaka Nithi,VALID,ACTIVE,2026-12-31
EASTERN PRESTIGE CHEMIST (Embu),PPB/E/321,BU202603959,SOLE PROPRIETOR,2013,KUBUKUBU,Embu,VALID,ACTIVE,2026-12-31
EASTERNWAVE PHARMACY,PPB/E/1397,BU202606765,SOLE PROPRIETOR,2022,RURII ROAD,Nairobi,VALID,ACTIVE,2026-12-31
EASTGATE CHEMIST (Nakuru),PPB/E/307,BU202600245,SOLE PROPRIETOR,2014,MAI MAHIU - NAIVASHA RD,Nakuru,VALID,ACTIVE,2026-12-31
EASTLEIGH PHARMACEUTICAL COMPANY  LTD -12TH STREET (Nairobi),PPB/E/178 C,BU202601415,PRIVATE COMPANY (LIMITED),2014,12TH STREET,Nairobi,VALID,ACTIVE,2026-12-31
EASTLINE PHARMACY  (Nairobi),PPB/E/1219,BU202601941,SOLE PROPRIETOR,2019,KASARANI-MWIKI,Nairobi,VALID,ACTIVE,2026-12-31
EASTON PHARMACEUTICAL LIMITED (Nairobi),PPB/E/1382,BU202605219,PRIVATE COMPANY (LIMITED),2022,MOMBASA ROAD  CAPITAL CENTER,Nairobi,VALID,ACTIVE,2026-12-31
EASTON PHARMACEUTICALS LTD-MSA ROAD (Nairobi),PPB/E/76,BU202600748,PRIVATE COMPANY (LIMITED),0000,MOMBASA RD,Nairobi,VALID,ACTIVE,2026-12-31
EASTWELL DISPENSING CHEMISTS,PPB/E/1682,BU202606776,SOLE PROPRIETOR,2025,NJURI NCHEKE STREET,,VALID,ACTIVE,2026-12-31
EBEN PHARMACEUTICALS LTD - MOI S DRIVE (Nairobi),PPB/T/276,BU202607528,PRIVATE COMPANY (LIMITED),2014,MOI DRIVE ROAD,Nairobi,VALID,ACTIVE,2026-12-31
EBENEZA CHEMIST (Mombasa),PPB/E/230,BU202607480,SOLE PROPRIETOR,1914,CHAANI,Mombasa,VALID,ACTIVE,2026-12-31
EBENEZER WA AMANI ONLINE PHARMACY,PPB/E/1518,BU202606328,SOLE PROPRIETOR,2023,ALONG NAIVASHA -NDUNYU NJERU ROAD,Nakuru,VALID,ACTIVE,2026-12-31
EBUWANGA CHEMIST,PPB/E/1700,BU202604190,SOLE PROPRIETOR,2025,EJINJA BUMULA ROAD,,VALID,ACTIVE,2026-12-31
ECACY CHEMIST,PPB/E/1683,BU202601807,PARTNERSHIP,2025,MAKONGENI,,VALID,ACTIVE,2026-12-31
ECODRUGS PHARMACY LTD-OUTERING RD (Nairobi),PPB/E/134,BU202602605,SOLE PROPRIETOR,2011,OFF OUTERING ROAD,Nairobi,VALID,ACTIVE,2026-12-31
ECOLIFE PHARMACY,PPB/E/1675,BU202607206,SOLE PROPRIETOR,2025,EMBU HIGHWAY,,VALID,ACTIVE,2026-12-31
ECOMED CHEMIST (Kiambu),PPB/E/286,BU202606836,SOLE PROPRIETOR,2013,STADIUM ROAD,Kiambu,VALID,ACTIVE,2026-12-31
ECSTATIC PHARMACY,PPB/E/1527,BU202606080,SOLE PROPRIETOR,2024,MATHARU ROAD,,VALID,ACTIVE,2026-12-31
ECZANE SOLUTIONS PHARMACY,PPB/E/1508,BU202600315,SOLE PROPRIETOR,2023,OFF NAMANGA RD,Kajiado,VALID,ACTIVE,2026-12-31
EDANI CHEMIST,PPB/E/1657,BU202607055,SOLE PROPRIETOR,2025,JOMVU ROAD,,VALID,ACTIVE,2026-12-31
EDDIKAN PHARMACY (Murang'a),PPB/E/1118,BU202601935,SOLE PROPRIETOR,2017,KIGUMO-KAHARATI ROAD,Murang'a,VALID,ACTIVE,2026-12-31
EDDIKAN PHARMACY LIMITED (Nairobi),PPB/E/1312,BU202601937,PARTNERSHIP,2021,NGARA,Nairobi,VALID,ACTIVE,2026-12-31
EDEL PHARMACEUTICALS LIMITED (Makueni),PPB/M/493,BU202601540,SOLE PROPRIETOR,2014,HOSP. RD,Makueni,VALID,ACTIVE,2026-12-31
EDEN CAREPLUS PHARMACEUTICALS - ACTION,PPB/E/1640,BU202601390,SOLE PROPRIETOR,2024,ELDORET-ITEN ROAD,,VALID,ACTIVE,2026-12-31
EDEN PRESTIGE FAMILY CHEMIST.,PPB/E/1590,BU202605566,PARTNERSHIP,2024,OMEGA STREET,,VALID,ACTIVE,2026-12-31
EDGE PHARMACY (Nairobi),PPB/E/231,BU202600826,SOLE PROPRIETOR,2012,KANGUNDO RD,Nairobi,VALID,ACTIVE,2026-12-31
